SKU,Product_Name,Category,Purchase_Price,Selling_Price,Avg_Price,Stock_Qty
SKU-1,Organic Apple,Food,437.57,499.21,468.39,694
SKU-2,Fresh Milk,Food,183.05,240.12,211.58,879
SKU-3,Sunscreen SPF50,Skincare,289.10,416.65,352.88,179
SKU-4,Blush Palette,Cosmetics,24.07,33.29,28.68,789
SKU-5,Volumizing Mascara,Cosmetics,199.14,338.50,268.82,204
SKU-6,Wireless Mouse,Electronics,400.66,530.92,465.79,477
SKU-7,Bluetooth Speaker,Electronics,78.90,120.09,99.50,322
SKU-8,Waterproof Eyeliner,Cosmetics,474.83,601.32,538.08,875
SKU-9,Blush Palette,Cosmetics,25.35,32.33,28.84,156
SKU-10,LED 24-inch Monitor,Electronics,436.60,487.24,461.92,229
SKU-11,Organic Apple,Food,219.38,268.24,243.81,242
SKU-12,Gentle Face Cleanser,Skincare,239.83,265.80,252.82,880
SKU-13,Heat Protectant Spray,Haircare,235.26,322.01,278.64,592
SKU-14,Basmati Rice,Food,317.25,385.14,351.20,963
SKU-15,Alcohol-Free Toner,Skincare,114.20,196.68,155.44,926
SKU-16,Wireless Mouse,Electronics,409.22,622.02,515.62,965
SKU-17,Full Coverage Foundation,Cosmetics,31.78,37.82,34.80,4
SKU-18,USB-C Charging Cable,Electronics,447.88,736.44,592.16,291
SKU-19,Night Repair Serum,Skincare,188.83,264.20,226.52,352
SKU-20,Volumizing Mascara,Cosmetics,329.47,554.17,441.82,409
SKU-21,Hydrating Moisturizer,Skincare,262.30,330.38,296.34,44
SKU-22,Bluetooth Speaker,Electronics,21.61,24.14,22.88,877
SKU-23,Sunscreen SPF50,Skincare,121.65,194.57,158.11,503
SKU-24,Basmati Rice,Food,176.24,235.66,205.95,849
SKU-25,Volumizing Mascara,Cosmetics,225.79,351.67,288.73,18
SKU-26,Hydrating Moisturizer,Skincare,418.69,697.69,558.19,532
SKU-27,Fresh Milk,Food,258.99,354.65,306.82,457
SKU-28,Sunscreen SPF50,Skincare,282.20,357.71,319.96,534
SKU-29,Revitalizing Hair Serum,Haircare,12.34,20.67,16.51,968
SKU-30,Extra Virgin Olive Oil,Food,421.16,755.15,588.16,394
SKU-31,Matte Liquid Lipstick,Cosmetics,183.81,283.39,233.60,726
SKU-32,Fresh Milk,Food,414.88,707.02,560.95,781
SKU-33,USB-C Charging Cable,Electronics,30.50,43.28,36.89,21
SKU-34,Blush Palette,Cosmetics,308.45,356.56,332.50,754
SKU-35,Volumizing Mascara,Cosmetics,285.93,445.02,365.48,69
SKU-36,Wireless Mouse,Electronics,159.92,196.63,178.27,884
SKU-37,Argan Oil Conditioner,Haircare,11.61,18.75,15.18,8
SKU-38,Sunscreen SPF50,Skincare,478.85,586.10,532.48,714
SKU-39,Night Repair Serum,Skincare,183.62,218.64,201.13,674
SKU-40,Volumizing Mascara,Cosmetics,27.78,34.78,31.28,853
SKU-41,Wireless Mouse,Electronics,237.02,374.03,305.52,232
SKU-42,Fresh Milk,Food,284.36,382.25,333.30,426
SKU-43,Waterproof Eyeliner,Cosmetics,34.58,56.11,45.34,974
SKU-44,Portable Power Bank,Electronics,131.66,194.03,162.84,510
SKU-45,LED 24-inch Monitor,Electronics,410.84,520.20,465.52,637
SKU-46,Wireless Mouse,Electronics,148.95,210.47,179.71,274
SKU-47,Gentle Face Cleanser,Skincare,176.36,198.09,187.23,495
SKU-48,Sunscreen SPF50,Skincare,466.09,825.79,645.94,39
SKU-49,Portable Power Bank,Electronics,383.38,630.65,507.02,963
SKU-50,Dry Shampoo,Haircare,154.26,214.69,184.48,970
SKU-51,Organic Apple,Food,400.76,681.58,541.17,533
