Return_ID,Order_ID,Return_Reason,Return_Date,Returned_Qty,Selling_Price,Discount_%,Refund_Amount
RET-2,ORD-1201,Late Delivery,2024-02-25,28,376.39,5%,"9,010.78"
RET-141,ORD-23,Late Delivery,2024-02-19,21,520.20,15%,"8,357.01"
RET-24,ORD-781,Quality Issue,2024-09-23,2,277.55,20%,399.67
RET-1755,ORD-37,Late Delivery,2024-07-11,20,672.81,5%,"11,505.05"
RET-154,ORD-43,Quality Issue,2024-12-31,79,549.81,10%,"35,182.34"
RET-1112,ORD-44,Quality Issue,2024-06-06,63,357.71,20%,"16,225.73"
RET-41,ORD-327,Late Delivery,2024-04-25,9,491.27,5%,"3,780.32"
RET-45,ORD-1957,Late Delivery,2024-09-18,88,435.90,5%,"32,797.12"
RET-47,ORD-1125,Damaged,2024-05-07,24,457.35,0%,"9,878.76"
RET-49,ORD-1458,Quality Issue,2024-06-21,69,398.48,10%,"22,271.05"
RET-981,ORD-60,Damaged,2024-05-01,76,542.67,0%,"37,118.63"
RET-53,ORD-2205,Wrong Item,2024-06-04,48,353.05,20%,"12,201.41"
RET-60,ORD-1259,Damaged,2024-09-02,39,112.37,15%,"3,352.56"
RET-65,ORD-1751,Late Delivery,2024-03-20,63,282.01,0%,"15,989.97"
RET-73,ORD-119,Late Delivery,2024-01-22,15,142.90,5%,"1,832.69"
RET-179,ORD-86,Wrong Item,2024-12-16,19,436.39,10%,"6,716.04"
RET-1135,ORD-90,Wrong Item,2024-08-07,34,97.29,5%,"2,828.22"
RET-82,ORD-816,Wrong Item,2024-04-18,3,428.73,20%,926.06
RET-1717,ORD-108,Damaged,2024-05-08,78,437.22,10%,"27,623.56"
RET-135,ORD-120,Wrong Item,2024-02-09,97,50.54,10%,"3,970.93"
RET-1155,ORD-127,Quality Issue,2024-07-18,42,182.63,15%,"5,867.90"
RET-124,ORD-534,Damaged,2024-01-27,18,17.64,15%,242.90
RET-133,ORD-1027,Wrong Item,2024-09-15,61,662.58,15%,"30,919.30"
RET-138,ORD-1015,Late Delivery,2024-12-29,70,143.80,10%,"8,153.46"
RET-683,ORD-163,Damaged,2024-06-25,50,281.11,10%,"11,384.96"
RET-1255,ORD-185,Quality Issue,2024-11-04,52,537.29,20%,"20,116.14"
RET-162,ORD-2220,Quality Issue,2024-03-31,58,194.03,20%,"8,102.69"
RET-167,ORD-231,Late Delivery,2024-04-19,37,258.47,15%,"7,315.99"
RET-173,ORD-1331,Late Delivery,2024-04-10,19,376.57,0%,"6,439.35"
RET-177,ORD-934,Wrong Item,2024-04-19,22,456.27,15%,"7,679.02"
RET-283,ORD-216,Quality Issue,2024-08-18,55,817.42,0%,"40,462.29"
RET-191,ORD-2598,Late Delivery,2024-04-13,50,177.51,10%,"7,189.16"
RET-1468,ORD-217,Late Delivery,2024-10-31,70,56.72,0%,"3,573.36"
RET-205,ORD-1917,Quality Issue,2024-06-10,36,296.95,10%,"8,659.06"
RET-206,ORD-975,Quality Issue,2024-03-28,25,542.67,0%,"12,210.08"
RET-955,ORD-239,Late Delivery,2024-09-08,97,99.78,0%,"8,710.79"
RET-1872,ORD-250,Damaged,2024-03-24,28,82.78,0%,"2,086.06"
RET-237,ORD-806,Damaged,2024-09-20,55,629.27,15%,"26,476.54"
RET-1217,ORD-274,Late Delivery,2024-12-31,49,210.47,15%,"7,889.47"
RET-250,ORD-1906,Late Delivery,2024-06-03,84,353.89,15%,"22,740.97"
RET-252,ORD-545,Quality Issue,2024-05-19,32,376.91,20%,"8,684.01"
RET-1790,ORD-292,Wrong Item,2024-12-27,64,329.92,15%,"16,152.88"
RET-257,ORD-848,Damaged,2024-08-24,66,470.22,20%,"22,344.85"
RET-920,ORD-294,Quality Issue,2024-04-06,37,238.61,10%,"7,151.14"
RET-854,ORD-300,Damaged,2024-03-11,76,446.96,5%,"29,043.46"
RET-1378,ORD-326,Wrong Item,2024-07-10,67,561.07,10%,"30,449.27"
RET-707,ORD-331,Late Delivery,2024-10-09,5,605.24,15%,"2,315.04"
RET-1458,ORD-343,Quality Issue,2024-08-12,69,580.94,5%,"34,272.56"
RET-1965,ORD-353,Wrong Item,2024-10-23,96,786.00,15%,"57,723.84"
RET-314,ORD-603,Quality Issue,2024-11-14,26,253.96,20%,"4,754.13"
RET-315,ORD-2690,Damaged,2024-11-22,81,297.18,10%,"19,497.98"
RET-1267,ORD-370,Damaged,2024-04-16,71,556.53,5%,"33,784.15"
