Sale_ID,Order_ID,SKU,Selling_Price,Discount_%,Sale_Date,Region,Order_Status,Final_Qty,Total_Revenue
SALE-1,ORD-2,SKU-883,320.85,20,1/3/2024,East,Delivered,29,7443.72
SALE-2,ORD-3,SKU-709,151.58,15,11/29/2024,South,Delivered,19,2448.017
SALE-3,ORD-6,SKU-123,185.67,20,10/12/2024,West,Delivered,94,13962.384
SALE-4,ORD-7,SKU-692,533.58,5,9/6/2024,West,Delivered,34,17234.634
SALE-6,ORD-12,SKU-890,394.76,15,4/4/2024,West,Delivered,84,28185.864
SALE-79,ORD-174,SKU-169,469.64,15,7/15/2024,West,Delivered,83,33133.102
SALE-9,ORD-17,SKU-632,296.44,5,4/28/2024,East,Delivered,92,25908.856
SALE-11,ORD-22,SKU-880,631.42,10,5/1/2024,South,Delivered,19,10797.282
SALE-828,ORD-1644,SKU-432,584.52,10,2/11/2024,South,Delivered,87,45767.916
SALE-15,ORD-35,SKU-395,376.91,15,8/4/2024,South,Delivered,83,26591.0005
SALE-18,ORD-40,SKU-75,562.52,15,10/6/2024,West,Delivered,6,2868.852
SALE-21,ORD-45,SKU-475,356.87,5,6/3/2024,West,Delivered,98,33224.597
SALE-22,ORD-48,SKU-139,24.26,20,8/14/2024,West,Delivered,74,1436.192
SALE-107,ORD-228,SKU-530,104.93,10,2/29/2024,North,Delivered,74,6988.338
SALE-24,ORD-54,SKU-637,673.31,10,1/24/2024,North,Delivered,10,6059.79
SALE-25,ORD-55,SKU-831,270.29,5,12/18/2024,West,Delivered,17,4365.1835
SALE-985,ORD-1955,SKU-304,228.94,0,2/24/2024,South,Delivered,98,22436.12
SALE-26,ORD-56,SKU-328,476.36,15,8/12/2024,East,Delivered,12,4858.872
SALE-27,ORD-58,SKU-296,261.46,5,7/1/2024,West,Delivered,95,23596.765
SALE-29,ORD-61,SKU-664,65.73,0,4/15/2024,South,Delivered,18,1183.14
SALE-30,ORD-64,SKU-590,383,0,7/19/2024,West,Delivered,31,11873
SALE-33,ORD-69,SKU-520,47.53,20,11/8/2024,South,Delivered,97,3688.328
SALE-34,ORD-70,SKU-314,430.68,5,11/24/2024,West,Delivered,24,9819.504
SALE-38,ORD-78,SKU-109,681.45,10,2/17/2024,East,Delivered,21,12879.405
SALE-39,ORD-80,SKU-684,857.78,15,8/21/2024,East,Delivered,35,25518.955
SALE-184,ORD-387,SKU-209,141.23,0,3/11/2024,North,Delivered,23,3248.29
SALE-139,ORD-291,SKU-785,546.88,20,1/15/2024,West,Delivered,84,36750.336
SALE-43,ORD-92,SKU-874,166.97,15,1/23/2024,East,Delivered,84,11921.658
SALE-44,ORD-97,SKU-690,91.51,15,11/5/2024,South,Delivered,49,3811.3915
SALE-46,ORD-105,SKU-536,256.68,15,2/12/2024,East,Delivered,24,5236.272
SALE-47,ORD-107,SKU-337,483.45,0,1/17/2024,West,Delivered,71,34324.95
SALE-407,ORD-846,SKU-793,124.91,5,5/24/2024,South,Delivered,53,6289.2185
SALE-49,ORD-111,SKU-568,770.01,0,9/16/2024,South,Delivered,65,50050.65
SALE-50,ORD-112,SKU-262,119.68,0,11/6/2024,East,Delivered,79,9454.72
SALE-55,ORD-121,SKU-947,457.46,15,4/27/2024,West,Delivered,97,37717.577
SALE-56,ORD-122,SKU-581,39.68,10,12/26/2024,West,Delivered,30,1071.36
SALE-61,ORD-130,SKU-688,160.37,20,1/21/2024,East,Delivered,15,1924.44
SALE-64,ORD-136,SKU-606,107.78,5,6/4/2024,West,Delivered,26,2662.166
SALE-541,ORD-1086,SKU-366,327.81,10,10/16/2024,North,Delivered,78,23012.262
